trim,educ,posicao_inicial,posicao_final,transition
2018_1,1,4,2,0.19109394031886903
2018_1,1,4,3,0.3170034761053704
2018_1,1,4,4,0.43587825419989695
2018_2,1,1,1,0.8378936866009422
2018_2,1,1,2,0.10719409852896315
2018_2,1,1,3,0.03703221436344726
2018_2,1,1,4,0.017880000506647405
2018_2,1,2,1,0.09116610279244208
2018_2,1,2,2,0.7498838154861478
2018_2,1,2,3,0.11208712924884905
2018_2,1,2,4,0.046862952472561066
2018_2,1,3,1,0.006997605345895261
2018_2,1,3,2,0.03801719414823505
2018_2,1,3,3,0.927536505746542
2018_2,1,3,4,0.02744869475932768
2018_2,1,4,1,0.05478220096984347
2018_2,1,4,2,0.20443562882511201
2018_2,1,4,3,0.32338437094809963
2018_2,1,4,4,0.41739779925694487
2018_3,1,1,1,0.8277818440289847
2018_3,1,1,2,0.11470978758141848
2018_3,1,1,3,0.040882545956628366
2018_3,1,1,4,0.01662582243296843
2018_3,1,2,1,0.09392934509101472
2018_3,1,2,2,0.7305313558037575
2018_3,1,2,3,0.12573883317125445
2018_3,1,2,4,0.04980046593397331
2018_3,1,3,1,0.006517238868160839
2018_3,1,3,2,0.034222323159254484
2018_3,1,3,3,0.931674753019891
2018_3,1,3,4,0.02758568495269369
2018_3,1,4,1,0.05914923536281296
2018_3,1,4,2,0.19030391206796107
2018_3,1,4,3,0.3206979852294399
2018_3,1,4,4,0.42984886733978606
2018_4,1,1,1,0.8247239967334281
2018_4,1,1,2,0.11250550718407976
2018_4,1,1,3,0.04326546190022338
2018_4,1,1,4,0.019505034182268774
2018_4,1,2,1,0.09530160749768167
2018_4,1,2,2,0.7147480621561285
2018_4,1,2,3,0.1345531023800712
2018_4,1,2,4,0.05539722796611858
2018_4,1,3,1,0.006323560464293972
2018_4,1,3,2,0.033435184669548486
2018_4,1,3,3,0.9331759830420684
2018_4,1,3,4,0.027065271824089132
2018_4,1,4,1,0.042019384328421124
2018_4,1,4,2,0.17511660951042504
2018_4,1,4,3,0.34148403009190936
2018_4,1,4,4,0.4413799760692445
2019_1,1,1,1,0.8164901774392711
2019_1,1,1,2,0.1217437848340816
2019_1,1,1,3,0.040090150054868344
2019_1,1,1,4,0.021675887671778995
2019_1,1,2,1,0.09567327686799976
2019_1,1,2,2,0.7345268671942974
2019_1,1,2,3,0.1240182954322244
